Record Type,Account Number,Account Name,Date,Credit Amount,Debit Amount,Code,Description,Reference,Memo
Detail,41927018,Atlantic Care Clearing Account,7/9/2025,,180505.26,577,Zero Balance Transfer Debit,6,SWEEP TO DDA     0042010203
Detail,41927018,Atlantic Care Clearing Account,7/9/2025,811.25,,275,Zero Balance Transfer Credit,7,SWEEP FROM DDA     0041927021
Balance,41927018,Atlantic Care Clearing Account,7/8/2025,1629.01,,010,Opening Ledger,,
Balance,41927018,Atlantic Care Clearing Account,7/8/2025,31272.22,,015,Closing Ledger,,
Balance,41927018,Atlantic Care Clearing Account,7/8/2025,,,040,Opening Available,,
Balance,41927018,Atlantic Care Clearing Account,7/8/2025,19638.52,,045,Closing Available,,
Balance,41927018,Atlantic Care Clearing Account,7/8/2025,,,056,Loan Balance,,
Balance,41927018,Atlantic Care Clearing Account,7/8/2025,,,072,1 - Day Float,,
Balance,41927018,Atlantic Care Clearing Account,7/8/2025,11633.7,,074,2 Or More Days Float,,
Balance,41927018,Atlantic Care Clearing Account,7/8/2025,,,075,3 Or More Days Float,,
Balance,41927018,Atlantic Care Clearing Account,7/8/2025,143163.78,,100,Total Credits,,
Balance,41927018,Atlantic Care Clearing Account,7/8/2025,113520.57,,400,Total Debits,,
Detail,41927018,Atlantic Care Clearing Account,7/8/2025,108116.56,,142,DDA ACH Deposit,6904,HMP HCCLAIMPMT TRN*1*162504636250704*16111038
Detail,41927018,Atlantic Care Clearing Account,7/8/2025,3500,,142,DDA ACH Deposit,184090,Sea Breeze Rehab Settlement Sea Breeze Rehab And N 000024325304946
Detail,41927018,Atlantic Care Clearing Account,7/8/2025,11908.7,,175,Business Remote Deposit Capture,6221935,BUSINESS RDC
Detail,41927018,Atlantic Care Clearing Account,7/8/2025,,113520.57,577,Zero Balance Transfer Debit,6,SWEEP TO DDA     0042010203
Detail,41927018,Atlantic Care Clearing Account,7/8/2025,19638.52,,275,Zero Balance Transfer Credit,7,SWEEP FROM DDA     0041927021
Balance,41927018,Atlantic Care Clearing Account,7/7/2025,5017.74,,010,Opening Ledger,,
Balance,41927018,Atlantic Care Clearing Account,7/7/2025,1629.01,,015,Closing Ledger,,
Balance,41927018,Atlantic Care Clearing Account,7/7/2025,1568.73,,040,Opening Available,,
Balance,41927018,Atlantic Care Clearing Account,7/7/2025,,,045,Closing Available,,
Balance,41927018,Atlantic Care Clearing Account,7/7/2025,,,056,Loan Balance,,
Balance,41927018,Atlantic Care Clearing Account,7/7/2025,1629.01,,072,1 - Day Float,,
Balance,41927018,Atlantic Care Clearing Account,7/7/2025,,,074,2 Or More Days Float,,
Balance,41927018,Atlantic Care Clearing Account,7/7/2025,,,075,3 Or More Days Float,,
Balance,41927018,Atlantic Care Clearing Account,7/7/2025,129619.21,,100,Total Credits,,
Balance,41927018,Atlantic Care Clearing Account,7/7/2025,133007.94,,400,Total Debits,,
Detail,41927018,Atlantic Care Clearing Account,7/7/2025,99000,,142,DDA ACH Deposit,205458,FCC HCCLAIMPMT TRN*1*01-00000001692924*182097
Detail,41927018,Atlantic Care Clearing Account,7/7/2025,15266.21,,142,DDA ACH Deposit,276,NDC SWEEP        FAC B151 ATLANTIC CARE ACQUISIT
Detail,41927018,Atlantic Care Clearing Account,7/7/2025,6494.5,,142,DDA ACH Deposit,101595,AARP Supplementa HCCLAIMPMT TRN*1*11277486846*1362739571*0
Detail,41927018,Atlantic Care Clearing Account,7/7/2025,5613.5,,142,DDA ACH Deposit,16529,BCBSF HCCLAIMPMT TRN*1*XXXXX9480*1592015694\
Detail,41927018,Atlantic Care Clearing Account,7/7/2025,1798,,142,DDA ACH Deposit,313327,BANKCARD         BTOT DEP SEA BREEZE REHAB AND N 518993321301996
Detail,41927018,Atlantic Care Clearing Account,7/7/2025,1167,,142,DDA ACH Deposit,276741,BANKCARD         BTOT DEP SEA BREEZE REHAB AND N 518993321301996
Detail,41927018,Atlantic Care Clearing Account,7/7/2025,280,,142,DDA ACH Deposit,205532,HUMANA INC US LE HCCLAIMPMT TRN*1*2607940*1592598550\
Detail,41927018,Atlantic Care Clearing Account,7/7/2025,,133007.94,577,Zero Balance Transfer Debit,6,SWEEP TO DDA     0042010203
Balance,41927018,Atlantic Care Clearing Account,7/3/2025,37339.62,,010,Opening Ledger,,
Balance,41927018,Atlantic Care Clearing Account,7/3/2025,5017.74,,015,Closing Ledger,,
Balance,41927018,Atlantic Care Clearing Account,7/3/2025,26463.62,,040,Opening Available,,
Balance,41927018,Atlantic Care Clearing Account,7/3/2025,1568.73,,045,Closing Available,,
Balance,41927018,Atlantic Care Clearing Account,7/3/2025,,,056,Loan Balance,,
Balance,41927018,Atlantic Care Clearing Account,7/3/2025,1820,,072,1 - Day Float,,
Balance,41927018,Atlantic Care Clearing Account,7/3/2025,1629.01,,074,2 Or More Days Float,,
Balance,41927018,Atlantic Care Clearing Account,7/3/2025,,,075,3 Or More Days Float,,
Balance,41927018,Atlantic Care Clearing Account,7/3/2025,45106.83,,100,Total Credits,,
Balance,41927018,Atlantic Care Clearing Account,7/3/2025,77428.71,,400,Total Debits,,
Detail,41927018,Atlantic Care Clearing Account,7/3/2025,24100,,142,DDA ACH Deposit,154119,FH Medicare HAX HCCLAIMPMT TRN*1*XXXXX9037*1412128275\
Detail,41927018,Atlantic Care Clearing Account,7/3/2025,6099.59,,142,DDA ACH Deposit,369973,PAY PLUS HCCLAIMPMT TRN*1*XXXXX5858*1731128555\
Detail,41927018,Atlantic Care Clearing Account,7/3/2025,5625,,142,DDA ACH Deposit,263469,Ultimate Health HCCLAIMPMT TRN*1*2000020529*1453706770*07
Detail,41927018,Atlantic Care Clearing Account,7/3/2025,5600,,142,DDA ACH Deposit,261597,HUMANA INC US LE HCCLAIMPMT TRN*1*2606331*1592598550\
Detail,41927018,Atlantic Care Clearing Account,7/3/2025,209.5,,142,DDA ACH Deposit,194755,HMP HCCLAIMPMT TRN*1*162311710250701*16111038
Detail,41927018,Atlantic Care Clearing Account,7/3/2025,1904.01,,175,Business Remote Deposit Capture,6100052,BUSINESS RDC
Detail,41927018,Atlantic Care Clearing Account,7/3/2025,,77428.71,577,Zero Balance Transfer Debit,6,SWEEP TO DDA     0042010203
Detail,41927018,Atlantic Care Clearing Account,7/3/2025,1568.73,,275,Zero Balance Transfer Credit,7,SWEEP FROM DDA     0041927021
Balance,41927018,Atlantic Care Clearing Account,7/2/2025,23447.66,,010,Opening Ledger,,
Balance,41927018,Atlantic Care Clearing Account,7/2/2025,37339.62,,015,Closing Ledger,,
Balance,41927018,Atlantic Care Clearing Account,7/2/2025,12768.54,,040,Opening Available,,
Balance,41927018,Atlantic Care Clearing Account,7/2/2025,26463.62,,045,Closing Available,,
Balance,41927018,Atlantic Care Clearing Account,7/2/2025,,,056,Loan Balance,,
Balance,41927018,Atlantic Care Clearing Account,7/2/2025,9056,,072,1 - Day Float,,
Balance,41927018,Atlantic Care Clearing Account,7/2/2025,1820,,074,2 Or More Days Float,,
Balance,41927018,Atlantic Care Clearing Account,7/2/2025,,,075,3 Or More Days Float,,
Balance,41927018,Atlantic Care Clearing Account,7/2/2025,51014.51,,100,Total Credits,,
Balance,41927018,Atlantic Care Clearing Account,7/2/2025,37122.55,,400,Total Debits,,
Detail,41927018,Atlantic Care Clearing Account,7/2/2025,11103.5,,142,DDA ACH Deposit,56948,AARP Supplementa HCCLAIMPMT TRN*1*11275785890*1362739571*0
Detail,41927018,Atlantic Care Clearing Account,7/2/2025,10731,,142,DDA ACH Deposit,202170,BANKCARD         BTOT DEP SEA BREEZE REHAB AND N 518993321301996
Detail,41927018,Atlantic Care Clearing Account,7/2/2025,419,,142,DDA ACH Deposit,9628,BCBS OF MASS HCCLAIMPMT TRN*1*XXXXX1364*1041045815\
Detail,41927018,Atlantic Care Clearing Account,7/2/2025,202.39,,142,DDA ACH Deposit,145420,Sunshine State H HCCLAIMPMT TRN*1*0914202309*1208937577\
Detail,41927018,Atlantic Care Clearing Account,7/2/2025,2095,,175,Business Remote Deposit Capture,6107917,BUSINESS RDC
Detail,41927018,Atlantic Care Clearing Account,7/2/2025,,37122.55,577,Zero Balance Transfer Debit,6,SWEEP TO DDA     0042010203
Detail,41927018,Atlantic Care Clearing Account,7/2/2025,26463.62,,275,Zero Balance Transfer Credit,7,SWEEP FROM DDA     0041927021
Balance,41927018,Atlantic Care Clearing Account,7/1/2025,13308.82,,010,Opening Ledger,,
Balance,41927018,Atlantic Care Clearing Account,7/1/2025,23447.66,,015,Closing Ledger,,
Balance,41927018,Atlantic Care Clearing Account,7/1/2025,11685.7,,040,Opening Available,,
Balance,41927018,Atlantic Care Clearing Account,7/1/2025,12768.54,,045,Closing Available,,
Balance,41927018,Atlantic Care Clearing Account,7/1/2025,,,056,Loan Balance,,
Balance,41927018,Atlantic Care Clearing Account,7/1/2025,1623.12,,072,1 - Day Float,,
Balance,41927018,Atlantic Care Clearing Account,7/1/2025,9056,,074,2 Or More Days Float,,
Balance,41927018,Atlantic Care Clearing Account,7/1/2025,,,075,3 Or More Days Float,,
Balance,41927018,Atlantic Care Clearing Account,7/1/2025,1234853.76,,100,Total Credits,,
Balance,41927018,Atlantic Care Clearing Account,7/1/2025,1247855.32,,400,Total Debits,,
Detail,41927018,Atlantic Care Clearing Account,7/1/2025,3000,,142,DDA ACH Deposit,298574,BANKCARD         BTOT DEP SEA BREEZE REHAB AND N 518993321301996
Detail,41927018,Atlantic Care Clearing Account,7/1/2025,415.8,,142,DDA ACH Deposit,113436,HMP HCCLAIMPMT TRN*1*162054125250627*16111038
Detail,41927018,Atlantic Care Clearing Account,7/1/2025,64.42,,142,DDA ACH Deposit,901,NDC SWEEP        FAC B151 ATLANTIC CARE ACQUISIT
Detail,41927018,Atlantic Care Clearing Account,7/1/2025,9331,,175,Business Remote Deposit Capture,6218920,BUSINESS RDC
Detail,41927018,Atlantic Care Clearing Account,7/1/2025,,15440.92,577,Zero Balance Transfer Debit,6,SWEEP TO DDA     0042010203
Detail,41927018,Atlantic Care Clearing Account,7/1/2025,12768.54,,275,Zero Balance Transfer Credit,7,SWEEP FROM DDA     0041927021
Balance,41927021,Atlantic Care Government Clearing,7/31/2025,,,010,Opening Ledger,,
Balance,41927021,Atlantic Care Government Clearing,7/31/2025,,,015,Closing Ledger,,
Balance,41927021,Atlantic Care Government Clearing,7/31/2025,,,040,Opening Available,,
Balance,41927021,Atlantic Care Government Clearing,7/31/2025,,,045,Closing Available,,
Balance,41927021,Atlantic Care Government Clearing,7/31/2025,,,056,Loan Balance,,
Balance,41927021,Atlantic Care Government Clearing,7/31/2025,,,072,1 - Day Float,,
Balance,41927021,Atlantic Care Government Clearing,7/31/2025,,,074,2 Or More Days Float,,
Balance,41927021,Atlantic Care Government Clearing,7/31/2025,,,075,3 Or More Days Float,,
Balance,41927021,Atlantic Care Government Clearing,7/31/2025,307.26,,100,Total Credits,,
Balance,41927021,Atlantic Care Government Clearing,7/31/2025,307.26,,400,Total Debits,,
Detail,41927021,Atlantic Care Government Clearing,7/31/2025,307.26,,142,DDA ACH Deposit,111097,ACH MEDICAID HCCLAIMPMT TRN*1*XXXXX4549*1593452939~
Detail,41927021,Atlantic Care Government Clearing,7/31/2025,,307.26,577,Zero Balance Transfer Debit,6,SWEEP TO DDA     0041927018
Balance,41927021,Atlantic Care Government Clearing,7/30/2025,,,010,Opening Ledger,,
Balance,41927021,Atlantic Care Government Clearing,7/30/2025,,,015,Closing Ledger,,
Balance,41927021,Atlantic Care Government Clearing,7/30/2025,,,040,Opening Available,,
Balance,41927021,Atlantic Care Government Clearing,7/30/2025,,,045,Closing Available,,
Balance,41927021,Atlantic Care Government Clearing,7/30/2025,,,056,Loan Balance,,
Balance,41927021,Atlantic Care Government Clearing,7/30/2025,,,072,1 - Day Float,,
Balance,41927021,Atlantic Care Government Clearing,7/30/2025,,,074,2 Or More Days Float,,
Balance,41927021,Atlantic Care Government Clearing,7/30/2025,,,075,3 Or More Days Float,,
Balance,41927021,Atlantic Care Government Clearing,7/30/2025,51903.88,,100,Total Credits,,
Balance,41927021,Atlantic Care Government Clearing,7/30/2025,51903.88,,400,Total Debits,,
Detail,41927021,Atlantic Care Government Clearing,7/30/2025,51903.88,,142,DDA ACH Deposit,50945,NOVITAS SOLUTION HCCLAIMPMT TRN*1*EFT5755646*1205296137*00
Detail,41927021,Atlantic Care Government Clearing,7/30/2025,,51903.88,577,Zero Balance Transfer Debit,6,SWEEP TO DDA     0041927018
Balance,41927021,Atlantic Care Government Clearing,7/29/2025,,,010,Opening Ledger,,
Balance,41927021,Atlantic Care Government Clearing,7/29/2025,,,015,Closing Ledger,,
Balance,41927021,Atlantic Care Government Clearing,7/29/2025,,,040,Opening Available,,
Balance,41927021,Atlantic Care Government Clearing,7/29/2025,,,045,Closing Available,,
Balance,41927021,Atlantic Care Government Clearing,7/29/2025,,,056,Loan Balance,,
Balance,41927021,Atlantic Care Government Clearing,7/29/2025,,,072,1 - Day Float,,
Balance,41927021,Atlantic Care Government Clearing,7/29/2025,,,074,2 Or More Days Float,,
Balance,41927021,Atlantic Care Government Clearing,7/29/2025,,,075,3 Or More Days Float,,
Balance,41927021,Atlantic Care Government Clearing,7/29/2025,,,100,Total Credits,,
Balance,41927021,Atlantic Care Government Clearing,7/29/2025,,,400,Total Debits,,
Balance,41927021,Atlantic Care Government Clearing,7/28/2025,,,010,Opening Ledger,,
Balance,41927021,Atlantic Care Government Clearing,7/28/2025,,,015,Closing Ledger,,
Balance,41927021,Atlantic Care Government Clearing,7/28/2025,,,040,Opening Available,,
Balance,41927021,Atlantic Care Government Clearing,7/28/2025,,,045,Closing Available,,
Balance,41927021,Atlantic Care Government Clearing,7/28/2025,,,056,Loan Balance,,
Balance,41927021,Atlantic Care Government Clearing,7/28/2025,,,072,1 - Day Float,,
Balance,41927021,Atlantic Care Government Clearing,7/28/2025,,,074,2 Or More Days Float,,
Balance,41927021,Atlantic Care Government Clearing,7/28/2025,,,075,3 Or More Days Float,,
Balance,41927021,Atlantic Care Government Clearing,7/28/2025,,,100,Total Credits,,
Balance,41927021,Atlantic Care Government Clearing,7/28/2025,,,400,Total Debits,,
Balance,41927021,Atlantic Care Government Clearing,7/25/2025,,,010,Opening Ledger,,
Balance,41927021,Atlantic Care Government Clearing,7/25/2025,,,015,Closing Ledger,,
Balance,41927021,Atlantic Care Government Clearing,7/25/2025,,,040,Opening Available,,
Balance,41927021,Atlantic Care Government Clearing,7/25/2025,,,045,Closing Available,,
Balance,41927021,Atlantic Care Government Clearing,7/25/2025,,,056,Loan Balance,,
Balance,41927021,Atlantic Care Government Clearing,7/25/2025,,,072,1 - Day Float,,
Balance,41927021,Atlantic Care Government Clearing,7/25/2025,,,074,2 Or More Days Float,,
Balance,41927021,Atlantic Care Government Clearing,7/25/2025,,,075,3 Or More Days Float,,
Balance,41927021,Atlantic Care Government Clearing,7/25/2025,,,100,Total Credits,,
Balance,41927021,Atlantic Care Government Clearing,7/25/2025,,,400,Total Debits,,
Balance,41927021,Atlantic Care Government Clearing,7/24/2025,,,010,Opening Ledger,,
Balance,41927021,Atlantic Care Government Clearing,7/24/2025,,,015,Closing Ledger,,
Balance,41927021,Atlantic Care Government Clearing,7/24/2025,,,040,Opening Available,,
Balance,41927021,Atlantic Care Government Clearing,7/24/2025,,,045,Closing Available,,
Balance,41927021,Atlantic Care Government Clearing,7/24/2025,,,056,Loan Balance,,
Balance,41927021,Atlantic Care Government Clearing,7/24/2025,,,072,1 - Day Float,,
Balance,41927021,Atlantic Care Government Clearing,7/24/2025,,,074,2 Or More Days Float,,
Balance,41927021,Atlantic Care Government Clearing,7/24/2025,,,075,3 Or More Days Float,,
Balance,41927021,Atlantic Care Government Clearing,7/24/2025,1193.17,,100,Total Credits,,
Balance,41927021,Atlantic Care Government Clearing,7/24/2025,1193.17,,400,Total Debits,,
Detail,41927021,Atlantic Care Government Clearing,7/24/2025,1193.17,,142,DDA ACH Deposit,56694,ACH MEDICAID HCCLAIMPMT TRN*1*XXXXX5554*1593452939~
Detail,41927021,Atlantic Care Government Clearing,7/24/2025,,1193.17,577,Zero Balance Transfer Debit,6,SWEEP TO DDA     0041927018
Balance,41927021,Atlantic Care Government Clearing,7/23/2025,,,010,Opening Ledger,,
Balance,41927021,Atlantic Care Government Clearing,7/23/2025,,,015,Closing Ledger,,
Balance,41927021,Atlantic Care Government Clearing,7/23/2025,,,040,Opening Available,,
Balance,41927021,Atlantic Care Government Clearing,7/23/2025,,,045,Closing Available,,
Balance,41927021,Atlantic Care Government Clearing,7/23/2025,,,056,Loan Balance,,
Balance,41927021,Atlantic Care Government Clearing,7/23/2025,,,072,1 - Day Float,,
Balance,41927021,Atlantic Care Government Clearing,7/23/2025,,,074,2 Or More Days Float,,
Balance,41927021,Atlantic Care Government Clearing,7/23/2025,,,075,3 Or More Days Float,,
Balance,41927021,Atlantic Care Government Clearing,7/23/2025,262326.05,,100,Total Credits,,
Balance,41927021,Atlantic Care Government Clearing,7/23/2025,262326.05,,400,Total Debits,,
Detail,41927021,Atlantic Care Government Clearing,7/23/2025,262326.05,,142,DDA ACH Deposit,50062,NOVITAS SOLUTION HCCLAIMPMT TRN*1*EFT5749366*1205296137*00
Detail,41927021,Atlantic Care Government Clearing,7/23/2025,,262326.05,577,Zero Balance Transfer Debit,6,SWEEP TO DDA     0041927018
Balance,41927021,Atlantic Care Government Clearing,7/22/2025,,,010,Opening Ledger,,
Balance,41927021,Atlantic Care Government Clearing,7/22/2025,,,015,Closing Ledger,,
Balance,41927021,Atlantic Care Government Clearing,7/22/2025,,,040,Opening Available,,
Balance,41927021,Atlantic Care Government Clearing,7/22/2025,,,045,Closing Available,,
Balance,41927021,Atlantic Care Government Clearing,7/22/2025,,,056,Loan Balance,,
Balance,41927021,Atlantic Care Government Clearing,7/22/2025,,,072,1 - Day Float,,
Balance,41927021,Atlantic Care Government Clearing,7/22/2025,,,074,2 Or More Days Float,,
Balance,41927021,Atlantic Care Government Clearing,7/22/2025,,,075,3 Or More Days Float,,
Balance,41927021,Atlantic Care Government Clearing,7/22/2025,,,100,Total Credits,,
Balance,41927021,Atlantic Care Government Clearing,7/22/2025,,,400,Total Debits,,
Balance,41927021,Atlantic Care Government Clearing,7/21/2025,,,010,Opening Ledger,,
Balance,41927021,Atlantic Care Government Clearing,7/21/2025,,,015,Closing Ledger,,
Balance,41927021,Atlantic Care Government Clearing,7/21/2025,,,040,Opening Available,,
Balance,41927021,Atlantic Care Government Clearing,7/21/2025,,,045,Closing Available,,
Balance,41927021,Atlantic Care Government Clearing,7/21/2025,,,056,Loan Balance,,
Balance,41927021,Atlantic Care Government Clearing,7/21/2025,,,072,1 - Day Float,,
Balance,41927021,Atlantic Care Government Clearing,7/21/2025,,,074,2 Or More Days Float,,
Balance,41927021,Atlantic Care Government Clearing,7/21/2025,,,075,3 Or More Days Float,,
Balance,41927021,Atlantic Care Government Clearing,7/21/2025,,,100,Total Credits,,
Balance,41927021,Atlantic Care Government Clearing,7/21/2025,,,400,Total Debits,,
Balance,41927021,Atlantic Care Government Clearing,7/18/2025,,,010,Opening Ledger,,
Balance,41927021,Atlantic Care Government Clearing,7/18/2025,,,015,Closing Ledger,,
Balance,41927021,Atlantic Care Government Clearing,7/18/2025,,,040,Opening Available,,
Balance,41927021,Atlantic Care Government Clearing,7/18/2025,,,045,Closing Available,,
Balance,41927021,Atlantic Care Government Clearing,7/18/2025,,,056,Loan Balance,,
Balance,41927021,Atlantic Care Government Clearing,7/18/2025,,,072,1 - Day Float,,
Balance,41927021,Atlantic Care Government Clearing,7/18/2025,,,074,2 Or More Days Float,,
Balance,41927021,Atlantic Care Government Clearing,7/18/2025,,,075,3 Or More Days Float,,
Balance,41927021,Atlantic Care Government Clearing,7/18/2025,,,100,Total Credits,,
Balance,41927021,Atlantic Care Government Clearing,7/18/2025,,,400,Total Debits,,
Balance,41927021,Atlantic Care Government Clearing,7/17/2025,,,010,Opening Ledger,,
Balance,41927021,Atlantic Care Government Clearing,7/17/2025,,,015,Closing Ledger,,
Balance,41927021,Atlantic Care Government Clearing,7/17/2025,,,040,Opening Available,,
Balance,41927021,Atlantic Care Government Clearing,7/17/2025,,,045,Closing Available,,
Balance,41927021,Atlantic Care Government Clearing,7/17/2025,,,056,Loan Balance,,
Balance,41927021,Atlantic Care Government Clearing,7/17/2025,,,072,1 - Day Float,,
Balance,41927021,Atlantic Care Government Clearing,7/17/2025,,,074,2 Or More Days Float,,
Balance,41927021,Atlantic Care Government Clearing,7/17/2025,,,075,3 Or More Days Float,,
Balance,41927021,Atlantic Care Government Clearing,7/17/2025,118.6,,100,Total Credits,,
Balance,41927021,Atlantic Care Government Clearing,7/17/2025,118.6,,400,Total Debits,,
Detail,41927021,Atlantic Care Government Clearing,7/17/2025,118.6,,142,DDA ACH Deposit,62352,ACH MEDICAID HCCLAIMPMT TRN*1*XXXXX6804*1593452939~
Detail,41927021,Atlantic Care Government Clearing,7/17/2025,,118.6,577,Zero Balance Transfer Debit,6,SWEEP TO DDA     0041927018
Balance,41927021,Atlantic Care Government Clearing,7/16/2025,,,010,Opening Ledger,,
Balance,41927021,Atlantic Care Government Clearing,7/16/2025,,,015,Closing Ledger,,
Balance,41927021,Atlantic Care Government Clearing,7/16/2025,,,040,Opening Available,,
Balance,41927021,Atlantic Care Government Clearing,7/16/2025,,,045,Closing Available,,
Balance,41927021,Atlantic Care Government Clearing,7/16/2025,,,056,Loan Balance,,
Balance,41927021,Atlantic Care Government Clearing,7/16/2025,,,072,1 - Day Float,,
Balance,41927021,Atlantic Care Government Clearing,7/16/2025,,,074,2 Or More Days Float,,
Balance,41927021,Atlantic Care Government Clearing,7/16/2025,,,075,3 Or More Days Float,,
Balance,41927021,Atlantic Care Government Clearing,7/16/2025,,,100,Total Credits,,
Balance,41927021,Atlantic Care Government Clearing,7/16/2025,,,400,Total Debits,,
Balance,41927021,Atlantic Care Government Clearing,7/15/2025,,,010,Opening Ledger,,
Balance,41927021,Atlantic Care Government Clearing,7/15/2025,,,015,Closing Ledger,,
Balance,41927021,Atlantic Care Government Clearing,7/15/2025,,,040,Opening Available,,
Balance,41927021,Atlantic Care Government Clearing,7/15/2025,,,045,Closing Available,,
Balance,41927021,Atlantic Care Government Clearing,7/15/2025,,,056,Loan Balance,,
Balance,41927021,Atlantic Care Government Clearing,7/15/2025,,,072,1 - Day Float,,
Balance,41927021,Atlantic Care Government Clearing,7/15/2025,,,074,2 Or More Days Float,,
Balance,41927021,Atlantic Care Government Clearing,7/15/2025,,,075,3 Or More Days Float,,
Balance,41927021,Atlantic Care Government Clearing,7/15/2025,14339,,100,Total Credits,,
Balance,41927021,Atlantic Care Government Clearing,7/15/2025,14339,,400,Total Debits,,
Detail,41927021,Atlantic Care Government Clearing,7/15/2025,14339,,142,DDA ACH Deposit,22286,NOVITAS SOLUTION HCCLAIMPMT TRN*1*EFT5743310*1205296137*00
Detail,41927021,Atlantic Care Government Clearing,7/15/2025,,14339,577,Zero Balance Transfer Debit,6,SWEEP TO DDA     0041927018
Balance,41927021,Atlantic Care Government Clearing,7/14/2025,,,010,Opening Ledger,,
Balance,41927021,Atlantic Care Government Clearing,7/14/2025,,,015,Closing Ledger,,
Balance,41927021,Atlantic Care Government Clearing,7/14/2025,,,040,Opening Available,,
Balance,41927021,Atlantic Care Government Clearing,7/14/2025,,,045,Closing Available,,
Balance,41927021,Atlantic Care Government Clearing,7/14/2025,,,056,Loan Balance,,
Balance,41927021,Atlantic Care Government Clearing,7/14/2025,,,072,1 - Day Float,,
Balance,41927021,Atlantic Care Government Clearing,7/14/2025,,,074,2 Or More Days Float,,
Balance,41927021,Atlantic Care Government Clearing,7/14/2025,,,075,3 Or More Days Float,,
Balance,41927021,Atlantic Care Government Clearing,7/14/2025,29595.41,,100,Total Credits,,
Balance,41927021,Atlantic Care Government Clearing,7/14/2025,29595.41,,400,Total Debits,,
Detail,41927021,Atlantic Care Government Clearing,7/14/2025,29595.41,,142,DDA ACH Deposit,37387,NOVITAS SOLUTION HCCLAIMPMT TRN*1*EFT5742462*1205296137*00
Detail,41927021,Atlantic Care Government Clearing,7/14/2025,,29595.41,577,Zero Balance Transfer Debit,6,SWEEP TO DDA     0041927018
Balance,41927021,Atlantic Care Government Clearing,7/11/2025,,,010,Opening Ledger,,
Balance,41927021,Atlantic Care Government Clearing,7/11/2025,,,015,Closing Ledger,,
Balance,41927021,Atlantic Care Government Clearing,7/11/2025,,,040,Opening Available,,
Balance,41927021,Atlantic Care Government Clearing,7/11/2025,,,045,Closing Available,,
Balance,41927021,Atlantic Care Government Clearing,7/11/2025,,,056,Loan Balance,,
Balance,41927021,Atlantic Care Government Clearing,7/11/2025,,,072,1 - Day Float,,
Balance,41927021,Atlantic Care Government Clearing,7/11/2025,,,074,2 Or More Days Float,,
Balance,41927021,Atlantic Care Government Clearing,7/11/2025,,,075,3 Or More Days Float,,
Balance,41927021,Atlantic Care Government Clearing,7/11/2025,,,100,Total Credits,,
Balance,41927021,Atlantic Care Government Clearing,7/11/2025,,,400,Total Debits,,
Balance,41927021,Atlantic Care Government Clearing,7/10/2025,,,010,Opening Ledger,,
Balance,41927021,Atlantic Care Government Clearing,7/10/2025,,,015,Closing Ledger,,
Balance,41927021,Atlantic Care Government Clearing,7/10/2025,,,040,Opening Available,,
Balance,41927021,Atlantic Care Government Clearing,7/10/2025,,,045,Closing Available,,
Balance,41927021,Atlantic Care Government Clearing,7/10/2025,,,056,Loan Balance,,
Balance,41927021,Atlantic Care Government Clearing,7/10/2025,,,072,1 - Day Float,,
Balance,41927021,Atlantic Care Government Clearing,7/10/2025,,,074,2 Or More Days Float,,
Balance,41927021,Atlantic Care Government Clearing,7/10/2025,,,075,3 Or More Days Float,,
Balance,41927021,Atlantic Care Government Clearing,7/10/2025,17164.19,,100,Total Credits,,
Balance,41927021,Atlantic Care Government Clearing,7/10/2025,17164.19,,400,Total Debits,,
Detail,41927021,Atlantic Care Government Clearing,7/10/2025,17164.19,,142,DDA ACH Deposit,63767,ACH MEDICAID HCCLAIMPMT TRN*1*XXXXX8169*1593452939~
Detail,41927021,Atlantic Care Government Clearing,7/10/2025,,17164.19,577,Zero Balance Transfer Debit,6,SWEEP TO DDA     0041927018
Balance,41927021,Atlantic Care Government Clearing,7/9/2025,,,010,Opening Ledger,,
Balance,41927021,Atlantic Care Government Clearing,7/9/2025,,,015,Closing Ledger,,
Balance,41927021,Atlantic Care Government Clearing,7/9/2025,,,040,Opening Available,,
Balance,41927021,Atlantic Care Government Clearing,7/9/2025,,,045,Closing Available,,
Balance,41927021,Atlantic Care Government Clearing,7/9/2025,,,056,Loan Balance,,
Balance,41927021,Atlantic Care Government Clearing,7/9/2025,,,072,1 - Day Float,,
Balance,41927021,Atlantic Care Government Clearing,7/9/2025,,,074,2 Or More Days Float,,
Balance,41927021,Atlantic Care Government Clearing,7/9/2025,,,075,3 Or More Days Float,,
Balance,41927021,Atlantic Care Government Clearing,7/9/2025,811.25,,100,Total Credits,,
Balance,41927021,Atlantic Care Government Clearing,7/9/2025,811.25,,400,Total Debits,,
Detail,41927021,Atlantic Care Government Clearing,7/9/2025,811.25,,142,DDA ACH Deposit,83575,NOVITAS SOLUTION HCCLAIMPMT TRN*1*EFT5739864*1205296137*00
Detail,41927021,Atlantic Care Government Clearing,7/9/2025,,811.25,577,Zero Balance Transfer Debit,6,SWEEP TO DDA     0041927018
Balance,41927021,Atlantic Care Government Clearing,7/8/2025,,,010,Opening Ledger,,
Balance,41927021,Atlantic Care Government Clearing,7/8/2025,,,015,Closing Ledger,,
Balance,41927021,Atlantic Care Government Clearing,7/8/2025,,,040,Opening Available,,
Balance,41927021,Atlantic Care Government Clearing,7/8/2025,,,045,Closing Available,,
